datetime,energy_kwh,Sub_metering_kwh_1,Sub_metering_kwh_2,Sub_metering_kwh_3
2006-12-16 17:00:00,2.5337333333333323,0.0,0.019,0.607
2006-12-16 18:00:00,3.632199999999998,0.0,0.40299999999999997,1.012
2006-12-16 19:00:00,3.4002333333333308,0.0,0.08600000000000001,1.0010000000000001
2006-12-16 20:00:00,3.268566666666665,0.0,0.0,1.0070000000000001
2006-12-16 21:00:00,3.0564666666666644,0.0,0.025,1.0330000000000001
2006-12-16 22:00:00,2.200133333333331,0.0,0.008,0.266
2006-12-16 23:00:00,2.0615999999999977,0.0,0.005,0.0
2006-12-17 00:00:00,1.8824666666666643,0.0,0.028,0.0
2006-12-17 01:00:00,3.349399999999998,0.0,1.514,0.0
2006-12-17 02:00:00,1.5872666666666642,0.0,0.034,0.0
2006-12-17 03:00:00,1.6621999999999972,0.0,0.046,0.0
2006-12-17 04:00:00,2.2157666666666644,0.0,0.034,0.5329999999999999
2006-12-17 05:00:00,1.9967333333333315,0.0,0.01,0.27899999999999997
2006-12-17 06:00:00,1.3032999999999981,0.0,0.043000000000000003,0.0
2006-12-17 07:00:00,1.620033333333331,0.0,0.01,0.0
2006-12-17 08:00:00,1.8905666666666643,0.0,0.045,0.0
2006-12-17 09:00:00,2.5490666666666644,0.0,0.439,0.0
2006-12-17 10:00:00,3.6288999999999976,0.533,1.341,0.9690000000000001
2006-12-17 11:00:00,2.470999999999998,0.567,0.301,1.0310000000000001
2006-12-17 12:00:00,1.9158666666666644,0.0,0.032,1.039
2006-12-17 13:00:00,1.6607666666666645,0.0,0.003,1.057
2006-12-17 14:00:00,2.0926333333333313,0.0,0.02,1.0939999999999999
2006-12-17 15:00:00,2.9853999999999976,0.418,0.012,1.062
2006-12-17 16:00:00,3.326033333333331,0.515,0.004,1.03
2006-12-17 17:00:00,3.406766666666664,0.0,0.028,1.0090000000000001
2006-12-17 18:00:00,3.697099999999998,0.0,0.0,1.01
2006-12-17 19:00:00,2.9083999999999977,0.0,0.031,1.0010000000000001
2006-12-17 20:00:00,3.3614999999999977,0.0,0.067,1.0270000000000001
2006-12-17 21:00:00,3.0407666666666646,0.0,0.07200000000000001,1.05
2006-12-17 22:00:00,1.517999999999998,0.0,0.025,0.15
2006-12-17 23:00:00,0.4377333333333312,0.0,0.048,0.0
2006-12-18 00:00:00,0.2763666666666643,0.0,0.002,0.0
2006-12-18 01:00:00,0.31329999999999747,0.0,0.035,0.0
2006-12-18 02:00:00,0.2844666666666641,0.0,0.0,0.0
2006-12-18 03:00:00,0.309933333333331,0.0,0.034,0.0
2006-12-18 04:00:00,1.0263333333333315,0.0,0.004,0.753
2006-12-18 05:00:00,0.293499999999997,0.0,0.028,0.0
2006-12-18 06:00:00,0.6099999999999979,0.0,0.005,0.0
2006-12-18 07:00:00,2.4504333333333315,0.005,0.027,0.6779999999999999
2006-12-18 08:00:00,2.082133333333331,0.748,0.002,1.041
2006-12-18 09:00:00,1.6293333333333317,0.31,0.029,1.036
2006-12-18 10:00:00,1.3096333333333312,0.0,0.0,1.05
2006-12-18 11:00:00,1.5619333333333314,0.0,0.031,1.056
2006-12-18 12:00:00,1.7560666666666642,0.0,0.0,1.081
2006-12-18 13:00:00,1.6820666666666648,0.0,0.032,1.042
2006-12-18 14:00:00,1.7330333333333305,0.0,0.0,1.043
2006-12-18 15:00:00,1.784299999999998,0.0,0.031,1.079
2006-12-18 16:00:00,1.9492999999999976,0.0,0.0,1.079
2006-12-18 17:00:00,2.154899999999998,0.0,0.02,1.047
2006-12-18 18:00:00,2.4025333333333307,0.0,0.015,1.0150000000000001
2006-12-18 19:00:00,2.614499999999998,0.0,0.5459999999999999,0.0
2006-12-18 20:00:00,3.0505666666666644,0.0,0.03,0.795
2006-12-18 21:00:00,2.169733333333331,0.0,0.0,0.223
2006-12-18 22:00:00,1.7387999999999972,0.0,0.531,0.0
2006-12-18 23:00:00,1.5472666666666646,0.0,1.219,0.0
2006-12-19 00:00:00,0.837133333333331,0.0,0.058,0.489
2006-12-19 01:00:00,0.3530333333333311,0.0,0.015,0.044
2006-12-19 02:00:00,0.3272333333333311,0.0,0.038,0.0
2006-12-19 03:00:00,0.3082999999999984,0.0,0.01,0.0
2006-12-19 04:00:00,0.3278333333333313,0.0,0.043000000000000003,0.0
2006-12-19 05:00:00,0.306666666666665,0.0,0.01,0.0
